,Código,Nome,Procedência,Qtd.,Un.,Custo,nome_peca
136,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,37.02,KG,104.43,031484 - LONGARINA - PLATAFORMA CBHM 6000 CAFEEIRA
137,120054,"CHAPA GQ 5/8 (15,8) 1010",Nacional - 0,3.4,KG,21.41,031736 - SUPORTE INTERNO - SUPORTE BALANCIM CBH/CBHM
138,120054,"CHAPA GQ 5/8 (15,8) 1010",Nacional - 0,5.31,KG,33.44,031740 - SUPORTE EXTERNO - SUPORTE BALANCIM CBH/CBHM
139,120054,"CHAPA GQ 5/8 (15,8) 1010",Nacional - 0,0.44,KG,2.77,031239 - DOBRADIÇA HORIZONTAL CBH/CBHM (M18)
140,120054,"CHAPA GQ 5/8 (15,8) 1010",Nacional - 0,0.89,KG,5.59,031225 - DOBRADIÇA SUP. TAMPA TRAS. ABERT. LATERAL - CBH M18
141,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,18.39,KG,107.29,450856 - REFORCO CENTRAL - PLATAF (6000) CBHM
142,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.25,KG,1.46,030721 - COMPLEMENTO DA LONGARINA - CHASSI - CBH/CBHM M17
143,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,3.31,KG,18.97,033920 - SUPORTE TRASEIRO [CHASSI - CBH CBHM 2E RS/T]
144,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,15.13,KG,86.6,"030424 - REFORÇO DA LONGARINA - CHASSI SIMPLES SS - CBH 6,0T 01 EIXO"
145,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,0.12,KG,0.69,030387 - BASE MÓVEL M17 BASE MÓVEL CBHM/CBH
146,120650,"CHAPA GQ 5/16(7,94) 1010",Nacional - 0,0.54,KG,3.09,455337 - ESBARRO - CHASSI/TANQUE FT5
147,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.61,KG,1.72,441480 - SUPORTE ENGATE ICAM (M98) FA/CBHM
148,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,42.34,KG,119.45,031485 - LONGARINA - CHASSI SIMPLES SS - CBHM 6000 CAFEEIRA
149,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.14,KG,0.81,030386 - TRAVA MACACO - MACACO EXTERNO - CBHM/CBH 4T
150,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.22,KG,0.62,475944 - SUP FIXACAO PLAT - TANQUES M98
151,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,6.98,KG,41.42,"028743 - SUPORTE DO CILINDRO - CHASSI CBH 6,0 2E"
152,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,1.04,KG,6.17,447043 - PORTA ICAMENTO - EIXO SS (M98) F
